# Blog List - 博客列表
# Format: title | slug | path | status | date | tags
# Status: pending (未开始) | in_progress (进行中) | completed (已完成)

语言模型输出端共享Embedding的重新探索 | 语言模型输出端共享embedding的重新探索 | blogs_raw/语言模型输出端共享embedding的重新探索.md | pending |  | 语言模型,初始化,生成模型,attention,优化
当生成模型肆虐：互联网将有“疯牛病”之忧？ | 当生成模型肆虐互联网将有疯牛病之忧 | blogs_raw/当生成模型肆虐互联网将有疯牛病之忧.md | pending |  | 生成模型,生成模型,attention,优化,语言模型
Transformer升级之路：10、RoPE是一种β进制编码 | transformer升级之路10rope是一种β进制编码 | blogs_raw/transformer升级之路10rope是一种β进制编码.md | pending |  | attention,位置编码,泛化,外推,rope
生成扩散模型漫谈（二十）：从ReFlow到WGAN-GP | 生成扩散模型漫谈二十从reflow到wgan-gp | blogs_raw/生成扩散模型漫谈二十从reflow到wgan-gp.md | pending |  | 优化,GAN,梯度,扩散,生成模型
生成扩散模型漫谈（十九）：作为扩散ODE的GAN | 生成扩散模型漫谈十九作为扩散ode的gan | blogs_raw/生成扩散模型漫谈十九作为扩散ode的gan.md | pending |  | 优化,GAN,扩散,生成模型,attention
梯度流：探索通向最小值之路 | 梯度流探索通向最小值之路 | blogs_raw/梯度流探索通向最小值之路.md | pending |  | 泛函,动力学,优化,梯度,生成模型
Naive Bayes is all you need ? | naive-bayes-is-all-you-need | blogs_raw/naive-bayes-is-all-you-need.md | pending |  | 语言模型,attention,LLM,贝叶斯,生成模型
关于NBCE方法的一些补充说明和分析 | 关于nbce方法的一些补充说明和分析 | blogs_raw/关于nbce方法的一些补充说明和分析.md | pending |  | 语言模型,外推,LLM,贝叶斯,生成模型
NBCE：使用朴素贝叶斯扩展LLM的Context处理长度 | nbce使用朴素贝叶斯扩展llm的context处理长度 | blogs_raw/nbce使用朴素贝叶斯扩展llm的context处理长度.md | pending |  | 语言模型,外推,LLM,贝叶斯,生成模型
基于量子化假设推导模型的尺度定律（Scaling Law） | 基于量子化假设推导模型的尺度定律scaling-law | blogs_raw/基于量子化假设推导模型的尺度定律scaling-law.md | pending |  | 模型,分析,量子,尺度定律,生成模型
Transformer升级之路：9、一种全局长度外推的新思路 | transformer升级之路9一种全局长度外推的新思路 | blogs_raw/transformer升级之路9一种全局长度外推的新思路.md | pending |  | attention,泛化,外推,生成模型,attention
如何度量数据的稀疏程度？ | 如何度量数据的稀疏程度 | blogs_raw/如何度量数据的稀疏程度.md | pending |  | 概率,熵,度量,稀疏,生成模型
注意力和Softmax的两点有趣发现：鲁棒性和信息量 | 注意力和softmax的两点有趣发现鲁棒性和信息量 | blogs_raw/注意力和softmax的两点有趣发现鲁棒性和信息量.md | pending |  | 信息,熵,attention,生成模型,attention
梯度视角下的LoRA：简介、分析、猜测及推广 | 梯度视角下的lora简介分析猜测及推广 | blogs_raw/梯度视角下的lora简介分析猜测及推广.md | pending |  | 梯度,优化器,低秩,lora,生成模型
从JL引理看熵不变性Attention | 从jl引理看熵不变性attention | blogs_raw/从jl引理看熵不变性attention.md | pending |  | 熵,attention,生成模型,attention,优化
Bias项的神奇作用：RoPE + Bias = 更好的长度外推性 | bias项的神奇作用rope-bias-更好的长度外推性 | blogs_raw/bias项的神奇作用rope-bias-更好的长度外推性.md | pending |  | 语言模型,attention,位置编码,外推,rope
Google新作试图“复活”RNN：RNN能否再次辉煌？ | google新作试图复活rnnrnn能否再次辉煌 | blogs_raw/google新作试图复活rnnrnn能否再次辉煌.md | pending |  | 语言模型,RNN,生成模型,attention,生成模型
《为什么现在的LLM都是Decoder-only的架构？》FAQ | 为什么现在的llm都是decoder-only的架构faq | blogs_raw/为什么现在的llm都是decoder-only的架构faq.md | pending |  | 问答,语言模型,文本生成,attention,生成模型
为什么现在的LLM都是Decoder-only的架构？ | 为什么现在的llm都是decoder-only的架构 | blogs_raw/为什么现在的llm都是decoder-only的架构.md | pending |  | 分析,语言模型,文本生成,attention,生成模型
缓解交叉熵过度自信的一个简明方案 | 缓解交叉熵过度自信的一个简明方案 | blogs_raw/缓解交叉熵过度自信的一个简明方案.md | pending |  | 优化,损失函数,光滑,生成模型,attention
Tiger：一个“抠”到极致的优化器 | tiger一个抠到极致的优化器 | blogs_raw/tiger一个抠到极致的优化器.md | pending |  | 模型,优化,优化器,生成模型,attention
生成扩散模型漫谈（十八）：得分匹配 = 条件得分匹配 | 生成扩散模型漫谈十八得分匹配-条件得分匹配 | blogs_raw/生成扩散模型漫谈十八得分匹配-条件得分匹配.md | pending |  | 概率,分析,生成模型,扩散,生成模型
生成扩散模型漫谈（十七）：构建ODE的一般步骤（下） | 生成扩散模型漫谈十七构建ode的一般步骤下 | blogs_raw/生成扩散模型漫谈十七构建ode的一般步骤下.md | pending |  | 概率,微分方程,生成模型,扩散,生成模型
Google新搜出的优化器Lion：效率与效果兼得的“训练狮” | google新搜出的优化器lion效率与效果兼得的训练狮 | blogs_raw/google新搜出的优化器lion效率与效果兼得的训练狮.md | pending |  | 分析,优化,优化器,生成模型,attention
生成扩散模型漫谈（十六）：W距离 ≤ 得分匹配 | 生成扩散模型漫谈十六w距离-得分匹配 | blogs_raw/生成扩散模型漫谈十六w距离-得分匹配.md | pending |  | 微分方程,GAN,生成模型,扩散,生成模型
测试函数法推导连续性方程和Fokker-Planck方程 | 测试函数法推导连续性方程和fokker-planck方程 | blogs_raw/测试函数法推导连续性方程和fokker-planck方程.md | pending |  | 概率,微分方程,随机,扩散,生成模型
Transformer升级之路：8、长度外推性与位置鲁棒性 | transformer升级之路8长度外推性与位置鲁棒性 | blogs_raw/transformer升级之路8长度外推性与位置鲁棒性.md | pending |  | 语言模型,attention,位置编码,外推,生成模型
Transformer升级之路：7、长度外推性与局部注意力 | transformer升级之路7长度外推性与局部注意力 | blogs_raw/transformer升级之路7长度外推性与局部注意力.md | pending |  | 语言模型,attention,位置编码,外推,生成模型
智能家居之热水器零冷水技术原理浅析 | 智能家居之热水器零冷水技术原理浅析 | blogs_raw/智能家居之热水器零冷水技术原理浅析.md | pending |  | 智能家居,生成模型,attention,优化,语言模型
Transformer升级之路：6、旋转位置编码的完备性分析 | transformer升级之路6旋转位置编码的完备性分析 | blogs_raw/transformer升级之路6旋转位置编码的完备性分析.md | pending |  | 矩阵,attention,位置编码,rope,生成模型
生成扩散模型漫谈（十五）：构建ODE的一般步骤（中） | 生成扩散模型漫谈十五构建ode的一般步骤中 | blogs_raw/生成扩散模型漫谈十五构建ode的一般步骤中.md | pending |  | 微分方程,生成模型,扩散,格林函数,生成模型
生成扩散模型漫谈（十四）：构建ODE的一般步骤（上） | 生成扩散模型漫谈十四构建ode的一般步骤上 | blogs_raw/生成扩散模型漫谈十四构建ode的一般步骤上.md | pending |  | 微分方程,生成模型,扩散,格林函数,生成模型
从局部到全局：语义相似度的测地线距离 | 从局部到全局语义相似度的测地线距离 | blogs_raw/从局部到全局语义相似度的测地线距离.md | pending |  | 黎曼几何,语义,语义相似度,生成模型,attention
智能家居之小爱同学控制极米投影仪的简单方案 | 智能家居之小爱同学控制极米投影仪的简单方案 | blogs_raw/智能家居之小爱同学控制极米投影仪的简单方案.md | pending |  | 生活,智能家居,米家,生成模型,attention
用热传导方程来指导自监督学习 | 用热传导方程来指导自监督学习 | blogs_raw/用热传导方程来指导自监督学习.md | pending |  | 物理,无监督,生成模型,attention,优化
基于Amos优化器思想推导出来的一些“炼丹策略” | 基于amos优化器思想推导出来的一些炼丹策略 | blogs_raw/基于amos优化器思想推导出来的一些炼丹策略.md | pending |  | 分析,优化,渐近,优化器,生成模型
CoSENT（三）：作为交互式相似度的损失函数 | cosent三作为交互式相似度的损失函数 | blogs_raw/cosent三作为交互式相似度的损失函数.md | pending |  | 语义,语义相似度,对比学习,生成模型,attention
利用CUR分解加速交互式相似度模型的检索 | 利用cur分解加速交互式相似度模型的检索 | blogs_raw/利用cur分解加速交互式相似度模型的检索.md | pending |  | 矩阵,语义,语义相似度,生成模型,attention
圆内随机n点在同一个圆心角为θ的扇形的概率 | 圆内随机n点在同一个圆心角为θ的扇形的概率 | blogs_raw/圆内随机n点在同一个圆心角为θ的扇形的概率.md | pending |  | 概率,竞赛,随机,生成模型,attention
生成扩散模型漫谈（十三）：从万有引力到扩散模型 | 生成扩散模型漫谈十三从万有引力到扩散模型 | blogs_raw/生成扩散模型漫谈十三从万有引力到扩散模型.md | pending |  | 引力,场论,生成模型,扩散,生成模型
“十字架”组合计数问题浅试 | 十字架组合计数问题浅试 | blogs_raw/十字架组合计数问题浅试.md | pending |  | 证明,数学,组合数学,生成模型,attention
生成扩散模型漫谈（十二）：“硬刚”扩散ODE | 生成扩散模型漫谈十二硬刚扩散ode | blogs_raw/生成扩散模型漫谈十二硬刚扩散ode.md | pending |  | 微分方程,生成模型,扩散,生成模型,attention
生成扩散模型漫谈（十一）：统一扩散模型（应用篇） | 生成扩散模型漫谈十一统一扩散模型应用篇 | blogs_raw/生成扩散模型漫谈十一统一扩散模型应用篇.md | pending |  | 统一,生成模型,DDPM,扩散,生成模型
生成扩散模型漫谈（十）：统一扩散模型（理论篇） | 生成扩散模型漫谈十统一扩散模型理论篇 | blogs_raw/生成扩散模型漫谈十统一扩散模型理论篇.md | pending |  | 统一,生成模型,DDPM,扩散,生成模型
生成扩散模型漫谈（九）：条件控制生成结果 | 生成扩散模型漫谈九条件控制生成结果 | blogs_raw/生成扩散模型漫谈九条件控制生成结果.md | pending |  | 概率,生成模型,DDPM,扩散,生成模型
生成扩散模型漫谈（八）：最优扩散方差估计（下） | 生成扩散模型漫谈八最优扩散方差估计下 | blogs_raw/生成扩散模型漫谈八最优扩散方差估计下.md | pending |  | 优化,生成模型,DDPM,扩散,生成模型
生成扩散模型漫谈（七）：最优扩散方差估计（上） | 生成扩散模型漫谈七最优扩散方差估计上 | blogs_raw/生成扩散模型漫谈七最优扩散方差估计上.md | pending |  | 优化,生成模型,DDPM,扩散,生成模型
生成扩散模型漫谈（六）：一般框架之ODE篇 | 生成扩散模型漫谈六一般框架之ode篇 | blogs_raw/生成扩散模型漫谈六一般框架之ode篇.md | pending |  | flow模型,微分方程,生成模型,DDPM,扩散
生成扩散模型漫谈（五）：一般框架之SDE篇 | 生成扩散模型漫谈五一般框架之sde篇 | blogs_raw/生成扩散模型漫谈五一般框架之sde篇.md | pending |  | 微分方程,生成模型,DDPM,扩散,生成模型
生成扩散模型漫谈（四）：DDIM = 高观点DDPM | 生成扩散模型漫谈四ddim-高观点ddpm | blogs_raw/生成扩散模型漫谈四ddim-高观点ddpm.md | pending |  | 微分方程,生成模型,DDPM,扩散,生成模型
生成扩散模型漫谈（三）：DDPM = 贝叶斯 + 去噪 | 生成扩散模型漫谈三ddpm-贝叶斯-去噪 | blogs_raw/生成扩散模型漫谈三ddpm-贝叶斯-去噪.md | pending |  | 概率,生成模型,DDPM,扩散,生成模型
不成功的尝试：将多标签交叉熵推广到“n个m分类”上去 | 不成功的尝试将多标签交叉熵推广到n个m分类上去 | blogs_raw/不成功的尝试将多标签交叉熵推广到n个m分类上去.md | pending |  | 优化,损失函数,生成模型,attention,优化
生成扩散模型漫谈（二）：DDPM = 自回归式VAE | 生成扩散模型漫谈二ddpm-自回归式vae | blogs_raw/生成扩散模型漫谈二ddpm-自回归式vae.md | pending |  | vae,生成模型,DDPM,扩散,生成模型
“维度灾难”之Hubness现象浅析 | 维度灾难之hubness现象浅析 | blogs_raw/维度灾难之hubness现象浅析.md | pending |  | 维度,GAN,生成模型,生成模型,attention
Ladder Side-Tuning：预训练模型的“过墙梯” | ladder-side-tuning预训练模型的过墙梯 | blogs_raw/ladder-side-tuning预训练模型的过墙梯.md | pending |  | 语言模型,预训练,生成模型,attention,优化
生成扩散模型漫谈（一）：DDPM = 拆楼 + 建楼 | 生成扩散模型漫谈一ddpm-拆楼-建楼 | blogs_raw/生成扩散模型漫谈一ddpm-拆楼-建楼.md | pending |  | VAE,GAN,flow模型,概率,生成模型
相对位置编码Transformer的一个理论缺陷与对策 | 相对位置编码transformer的一个理论缺陷与对策 | blogs_raw/相对位置编码transformer的一个理论缺陷与对策.md | pending |  | 语言模型,attention,位置编码,生成模型,attention
如何训练你的准确率？ | 如何训练你的准确率 | blogs_raw/如何训练你的准确率.md | pending |  | 概率,优化,损失函数,生成模型,attention
从重参数的角度看离散概率分布的构建 | 从重参数的角度看离散概率分布的构建 | blogs_raw/从重参数的角度看离散概率分布的构建.md | pending |  | 概率,重参数,生成模型,attention,优化
当BERT-whitening引入超参数：总有一款适合你 | 当bert-whitening引入超参数总有一款适合你 | blogs_raw/当bert-whitening引入超参数总有一款适合你.md | pending |  | 语言模型,语义,语义相似度,生成模型,attention
logsumexp运算的几个不等式 | logsumexp运算的几个不等式 | blogs_raw/logsumexp运算的几个不等式.md | pending |  | 不等式,函数,生成模型,attention,优化
多标签“Softmax+交叉熵”的软标签版本 | 多标签softmax交叉熵的软标签版本 | blogs_raw/多标签softmax交叉熵的软标签版本.md | pending |  | 优化,损失函数,光滑,生成模型,attention
在bert4keras中使用混合精度和XLA加速训练 | 在bert4keras中使用混合精度和xla加速训练 | blogs_raw/在bert4keras中使用混合精度和xla加速训练.md | pending |  | 模型,优化,梯度,生成模型,attention
GAU-α：尝鲜体验快好省的下一代Attention | gau-α尝鲜体验快好省的下一代attention | blogs_raw/gau-α尝鲜体验快好省的下一代attention.md | pending |  | 语言模型,attention,预训练,生成模型,attention
你的语言模型有没有“无法预测的词”？ | 你的语言模型有没有无法预测的词 | blogs_raw/你的语言模型有没有无法预测的词.md | pending |  | 语言模型,多任务,生成模型,attention,优化
GlobalPointer下的“KL散度”应该是怎样的？ | globalpointer下的kl散度应该是怎样的 | blogs_raw/globalpointer下的kl散度应该是怎样的.md | pending |  | 损失函数,对抗训练,NER,正则化,生成模型
熵不变性Softmax的一个快速推导 | 熵不变性softmax的一个快速推导 | blogs_raw/熵不变性softmax的一个快速推导.md | pending |  | 近似,熵,attention,生成模型,attention
听说Attention与Softmax更配哦～ | 听说attention与softmax更配哦 | blogs_raw/听说attention与softmax更配哦.md | pending |  | 熵,语言模型,attention,预训练,生成模型
为什么Pre Norm的效果不如Post Norm？ | 为什么pre-norm的效果不如post-norm | blogs_raw/为什么pre-norm的效果不如post-norm.md | pending |  | 优化,梯度,attention,生成模型,attention
RoFormerV2：自然语言理解的极限探索 | roformerv2自然语言理解的极限探索 | blogs_raw/roformerv2自然语言理解的极限探索.md | pending |  | 语言模型,预训练,生成模型,attention,优化
为什么需要残差？一个来自DeepNet的视角 | 为什么需要残差一个来自deepnet的视角 | blogs_raw/为什么需要残差一个来自deepnet的视角.md | pending |  | 模型,优化,深度学习,梯度,生成模型
门控注意力单元（GAU）还需要Warmup吗？ | 门控注意力单元gau还需要warmup吗 | blogs_raw/门控注意力单元gau还需要warmup吗.md | pending |  | 模型,优化,attention,生成模型,attention
训练1000层的Transformer究竟有什么困难？ | 训练1000层的transformer究竟有什么困难 | blogs_raw/训练1000层的transformer究竟有什么困难.md | pending |  | 优化,梯度,attention,生成模型,attention
指数梯度下降 + 元学习 = 自适应学习率 | 指数梯度下降-元学习-自适应学习率 | blogs_raw/指数梯度下降-元学习-自适应学习率.md | pending |  | 优化,梯度,优化器,生成模型,attention
FLASH：可能是近来最有意思的高效Transformer设计 | flash可能是近来最有意思的高效transformer设计 | blogs_raw/flash可能是近来最有意思的高效transformer设计.md | pending |  | 语言模型,生成模型,attention,生成模型,attention
GPLinker：基于GlobalPointer的事件联合抽取 | gplinker基于globalpointer的事件联合抽取 | blogs_raw/gplinker基于globalpointer的事件联合抽取.md | pending |  | NLP,信息抽取,NER,生成模型,attention
多任务学习漫谈（三）：分主次之序 | 多任务学习漫谈三分主次之序 | blogs_raw/多任务学习漫谈三分主次之序.md | pending |  | 深度学习,损失函数,梯度,多任务,生成模型
多任务学习漫谈（二）：行梯度之事 | 多任务学习漫谈二行梯度之事 | blogs_raw/多任务学习漫谈二行梯度之事.md | pending |  | 深度学习,损失函数,梯度,多任务,生成模型
GPLinker：基于GlobalPointer的实体关系联合抽取 | gplinker基于globalpointer的实体关系联合抽取 | blogs_raw/gplinker基于globalpointer的实体关系联合抽取.md | pending |  | NLP,信息抽取,NER,生成模型,attention
Efficient GlobalPointer：少点参数，多点效果 | efficient-globalpointer少点参数多点效果 | blogs_raw/efficient-globalpointer少点参数多点效果.md | pending |  | 模型,NLP,NER,生成模型,attention
多任务学习漫谈（一）：以损失之名 | 多任务学习漫谈一以损失之名 | blogs_raw/多任务学习漫谈一以损失之名.md | pending |  | 深度学习,损失函数,多任务,生成模型,attention
CoSENT（二）：特征式匹配与交互式匹配有多大差距？ | cosent二特征式匹配与交互式匹配有多大差距 | blogs_raw/cosent二特征式匹配与交互式匹配有多大差距.md | pending |  | 语义,语义相似度,对比学习,生成模型,attention
CoSENT（一）：比Sentence-BERT更有效的句向量方案 | cosent一比sentence-bert更有效的句向量方案 | blogs_raw/cosent一比sentence-bert更有效的句向量方案.md | pending |  | 语义,语义相似度,对比学习,生成模型,attention
SquarePlus：可能是运算最简单的ReLU光滑近似 | squareplus可能是运算最简单的relu光滑近似 | blogs_raw/squareplus可能是运算最简单的relu光滑近似.md | pending |  | 函数,近似,分析,生成模型,attention
概率分布的熵归一化（Entropy Normalization） | 概率分布的熵归一化entropy-normalization | blogs_raw/概率分布的熵归一化entropy-normalization.md | pending |  | 概率,熵,生成模型,attention,优化
从熵不变性看Attention的Scale操作 | 从熵不变性看attention的scale操作 | blogs_raw/从熵不变性看attention的scale操作.md | pending |  | 概率,熵,attention,生成模型,attention
Seq2Seq+前缀树：检索任务新范式（以KgCLUE为例） | seq2seq前缀树检索任务新范式以kgclue为例 | blogs_raw/seq2seq前缀树检索任务新范式以kgclue为例.md | pending |  | 代码,语义,keras,相似度,生成模型
输入梯度惩罚与参数梯度惩罚的一个不等式 | 输入梯度惩罚与参数梯度惩罚的一个不等式 | blogs_raw/输入梯度惩罚与参数梯度惩罚的一个不等式.md | pending |  | 不等式,优化,梯度,泛化,生成模型
变分自编码器（八）：估计样本概率密度 | 变分自编码器八估计样本概率密度 | blogs_raw/变分自编码器八估计样本概率密度.md | pending |  | 概率,变分,vae,生成模型,生成模型
开局一段扯，数据全靠编？真被一篇“神论文”气到了 | 开局一段扯数据全靠编真被一篇神论文气到了 | blogs_raw/开局一段扯数据全靠编真被一篇神论文气到了.md | pending |  | 情感,模型,生成模型,attention,优化
Dropout视角下的MLM和MAE：一些新的启发 | dropout视角下的mlm和mae一些新的启发 | blogs_raw/dropout视角下的mlm和mae一些新的启发.md | pending |  | 模型,概率,分析,优化,生成模型
ChildTuning：试试把Dropout加到梯度上去？ | childtuning试试把dropout加到梯度上去 | blogs_raw/childtuning试试把dropout加到梯度上去.md | pending |  | 模型,优化,梯度,生成模型,attention
WGAN新方案：通过梯度归一化来实现L约束 | wgan新方案通过梯度归一化来实现l约束 | blogs_raw/wgan新方案通过梯度归一化来实现l约束.md | pending |  | 无监督,GAN,生成模型,生成模型,attention
模型优化漫谈：BERT的初始标准差为什么是0.02？ | 模型优化漫谈bert的初始标准差为什么是002 | blogs_raw/模型优化漫谈bert的初始标准差为什么是002.md | pending |  | 模型,分析,优化,梯度,生成模型
bert4keras在手，baseline我有：CLUE基准代码 | bert4keras在手baseline我有clue基准代码 | blogs_raw/bert4keras在手baseline我有clue基准代码.md | pending |  | 模型,代码,keras,生成模型,attention
CAN：借助先验分布提升分类性能的简单后处理技巧 | can借助先验分布提升分类性能的简单后处理技巧 | blogs_raw/can借助先验分布提升分类性能的简单后处理技巧.md | pending |  | 模型,概率,分析,技巧,生成模型
初始化方法中非方阵的维度平均策略思考 | 初始化方法中非方阵的维度平均策略思考 | blogs_raw/初始化方法中非方阵的维度平均策略思考.md | pending |  | 模型,优化,梯度,生成模型,attention
用狄拉克函数来构造非光滑函数的光滑近似 | 用狄拉克函数来构造非光滑函数的光滑近似 | blogs_raw/用狄拉克函数来构造非光滑函数的光滑近似.md | pending |  | 函数,近似,分析,光滑,生成模型
关于WhiteningBERT原创性的疑问和沟通 | 关于whiteningbert原创性的疑问和沟通 | blogs_raw/关于whiteningbert原创性的疑问和沟通.md | pending |  | 情感,模型,工作,生成模型,attention
